"doy","secs","observed","level","season1","season2"
2,46800,52,105.738027925837,28.2152735861434,-65.5662559257337
2,48600,52,104.298344947487,29.9555181730367,-65.5690823699375
2,50400,52.3076923076923,102.910195511077,31.0567487835702,-65.5717040032264
2,52200,53.2307692307692,101.669998930861,31.5083558581129,-65.5746935120437
2,54000,52.6153846153846,100.493851424567,31.330913686073,-65.5787662781127
2,55800,50.6923076923077,99.319093451444,30.571025451482,-65.583300577852
2,57600,47.2307692307692,98.0638261803719,29.3023243316805,-65.5878319136917
2,59400,45.3846153846154,96.8968209928483,27.6042092301303,-65.5917528249625
2,61200,41.6923076923077,95.6924007942922,25.5544939335768,-65.5963148001565
2,63000,40.4615384615385,94.6742490175816,23.1874448318702,-65.6005860238951
2,64800,41.6923076923077,94.0465077775159,20.5270471105805,-65.6062254610717
